episode,angle_deg,success,min_arm_body_dist_m,min_tip_m,real_pinch_steps,stable_hold,release_x,release_y,release_z,bias_x,bias_y
0,105.0,True,0.16490359604358673,0.04291887581348419,20,15,-0.23293714059226878,0.8693332436601615,4.2,0.0,0.0
1,45.0,True,0.09683774411678314,0.044410254806280136,26,9,0.6363961030678928,0.6363961030678927,4.2,0.0,0.0
2,55.0,True,0.1239100843667984,0.046546898782253265,33,13,0.5162187927159415,0.7372368398600926,4.2,0.0,0.0
3,75.0,True,0.18938986957073212,0.09510219842195511,20,11,0.23293714059226867,0.8693332436601615,4.2,0.0,0.0
4,35.0,True,0.10905627906322479,0.06508626788854599,27,7,0.5572368398600926,0.5162187927159415,4.2,-0.18,0.0
5,125.0,True,0.21490854024887085,0.09197984635829926,21,20,-0.5162187927159415,0.7372368398600926,4.2,0.0,0.0
6,145.0,True,0.2131502479314804,0.13424405455589294,17,15,-0.7372368398600927,0.5162187927159414,4.2,0.0,0.0
7,90.0,True,0.16819579899311066,0.059945717453956604,16,11,5.5109105961630896e-17,0.9,4.2,0.0,0.0
